Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY
Date,,,,,,,,,,,,,,,
2018-04-17,9923.4443359375,631.5343017578125,240.12403869628906,10398.8798828125,651.0613403320312,240.72836374946306,9891.55859375,630.8685913085938,238.84427557093812,10143.6552734375,642.3558959960938,239.3597229111936,8666124943,2210660008,64682000.0
2018-04-18,10307.1337890625,662.5985717773438,240.30172729492188,10350.5419921875,662.8760986328125,241.11044102907053,9911.13671875,631.7239379882812,239.83957416493683,9976.615234375,632.055419921875,240.5683332378651,8244664063,2225888084,57303900.0
2018-04-19,10504.7431640625,719.2313842773438,238.9686279296875,10509.4619140625,719.2313842773438,239.84845460633704,10276.8369140625,660.670654296875,237.92881057592464,10301.89453125,661.650390625,239.6440386488183,8945555445,2858325713,77655900.0
2018-04-20,11289.048828125,785.7793579101562,236.94229125976562,11332.9501953125,789.6041259765625,239.11967222013325,10445.0078125,709.8786010742188,236.05356876519244,10495.3330078125,719.3580932617188,238.89749159648994,10768716248,3636493553,99953100.0
2018-04-21,11352.5390625,772.6051025390625,,11482.69921875,793.6534423828125,,11041.8740234375,738.3455200195312,,11292.826171875,786.1443481445312,,9633459694,3334021493,
2018-04-22,11237.220703125,793.866455078125,,11487.892578125,817.7468872070312,,11206.294921875,757.8956298828125,,11390.1611328125,773.5291137695312,,8463730054,3097376221,
2018-04-23,11469.9287109375,825.224365234375,236.9067840576172,11457.0888671875,829.5867919921875,238.07990436943388,11221.5517578125,792.8753662109375,235.82254142790674,11226.91796875,793.0225830078125,237.52000480599133,8894021702,3065405872,65558000.0
2018-04-24,12428.31640625,907.5753173828125,233.71629333496094,12476.2333984375,908.9194946289062,238.15990660538384,11468.6904296875,826.4447631835938,232.20545397435194,11474.373046875,826.3160400390625,237.93772594186268,13685950572,4590511899,112885500.0
2018-04-25,11355.2763671875,790.009521484375,234.29397583007812,12510.0673828125,906.3828125,234.73833719162766,11329.7939453125,772.6528930664062,231.82332774472928,12432.8408203125,906.170654296875,233.6540943845802,14227375675,5412258959,103840900.0
2018-04-26,11944.375,852.9689331054688,236.67578125,11944.375,853.38134765625,237.5111829030971,11195.9833984375,774.880615234375,234.88057084742388,11382.9794921875,793.427978515625,235.32493227474492,11544213005,3840122448,67731900.0
2018-04-27,11522.296875,829.5596923828125,236.89785766601562,12069.0419921875,881.5620727539062,237.59106010257747,11522.296875,829.5596923828125,235.95581402457663,11956.111328125,852.0680541992188,237.28889771963074,9700740306,3331062370,57053600.0
2018-04-28,11985.6865234375,876.5435180664062,,12067.240234375,886.497802734375,,11451.705078125,826.5006103515625,,11461.037109375,826.5006103515625,,10007405826,3200967745,
2018-04-29,12094.0986328125,884.523193359375,,12220.3232421875,894.5929565429688,,11787.255859375,859.6647338867188,,11983.0322265625,876.8435668945312,,11367252247,3518878876,
2018-04-30,11857.4736328125,859.646484375,235.07603454589844,12178.1240234375,892.0763549804688,238.07992141317192,11785.7666015625,854.8945922851562,235.00492154645832,12103.1259765625,885.653076171875,237.52002180964712,11130374144,3661097961,82182300.0
2018-05-01,11709.720703125,864.9864501953125,235.49375915527344,11878.99609375,865.8660278320312,235.60040154358634,11415.21875,818.0275268554688,232.94310213368462,11871.486328125,860.338134765625,234.50726282004828,9904288859,3440052700,74203400.0
2018-05-02,11897.7119140625,885.185302734375,233.91183471679688,11915.91796875,887.0217895507812,236.11584974188295,11579.044921875,857.16748046875,233.52079454363667,11691.216796875,865.5797119140625,235.29824001375923,9736421547,3635648152,86368900.0
2018-05-03,12515.98828125,1001.322998046875,233.3963623046875,12589.8740234375,1007.6428833007812,234.05400845522928,11805.8544921875,884.5352172851562,230.22361560464304,11895.2001953125,884.466552734375,233.07643513577497,13111276316,5408952307,136311500.0
